Genotype,Rep,CA_growth chamber,ABM_g/plant
Alsen,1,10,9.66
Alsen,2,10,11.51
Alsen,3,10,8.33
Alsen,4,10,6.46
Alsen,5,10,14.19
Alsen,6,10,13.72
Alsen,7,10,14.35
Alsen,8,10,11.49
Alsen,9,10,14.24
Alsen,10,10,7.5
Gladius,1,1,2.46
Gladius,2,1,2.76
Gladius,3,1,3.12
Gladius,4,1,2.6
Gladius,5,1,2.69
Gladius,6,1,3.56
Gladius,7,1,7.16
Gladius,8,1,3.01
Gladius,9,1,3.16
Gladius,10,1,3.8
Kukri,1,5,6.94
Kukri,2,5,6.85
Kukri,3,5,7.87
Kukri,4,5,6.63
Kukri,5,5,4.36
Kukri,6,5,7.4
Kukri,7,5,3.75
Kukri,8,5,5.51
Kukri,9,5,7.99
Kukri,10,5,7.05
Chara,1,3,1.66
Chara,2,3,3.53
Chara,3,3,3.2
Chara,4,3,3.87
Chara,5,3,3.61
Chara,6,3,1.73
Chara,7,3,3.18
Chara,8,3,4.17
Chara,9,3,4.93
Chara,10,3,3.63
CDC Teal,1,7,8.96
CDC Teal,2,7,9.29
CDC Teal,3,7,4.63
CDC Teal,4,7,6.69
CDC Teal,5,7,8.09
CDC Teal,6,7,11.15
CDC Teal,7,7,5.49
CDC Teal,8,7,6.85
CDC Teal,9,7,9.48
CDC Teal,10,7,10.88
AAC Brandon,1,10,4.51
AAC Brandon,2,10,4.73
AAC Brandon,3,10,2.05
AAC Brandon,4,10,2.29
AAC Brandon,5,10,5.86
AAC Brandon,6,10,2.07
AAC Brandon,7,10,3.08
AAC Brandon,8,10,6.45
AAC Brandon,9,10,2.98
AAC Brandon,10,10,2.45
