Genotype,Rep,CA,DAS,HW,V
Alsen,1,10,35,0.62,4031.34
Alsen,2,10,35,0.81,7522.6
Alsen,3,10,35,0.74,3344.67
Alsen,4,10,35,0.69,7739.22
Alsen,5,10,35,0.47,4824.58
Alsen,6,10,35,0.72,5010.96
Alsen,7,10,35,0.74,2873.21
Alsen,8,10,35,0.66,3432.96
Alsen,9,10,35,0.67,5393.58
Alsen,10,10,35,0.78,4505.49
Chara,1,3,35,0.77,1891.84
Chara,2,3,35,0.60,2311.5
Chara,3,3,35,0.61,2092.76
Chara,4,3,35,0.72,3192.9
Chara,5,3,35,0.76,2771.64
Chara,6,3,35,0.65,2389.52
Chara,7,3,35,0.75,1396.78
Chara,8,3,35,0.60,3178.11
Chara,9,3,35,0.64,2990.95
Chara,10,3,35,0.85,3779.54
Gladius,1,1,35,0.73,2011.12
Gladius,2,1,35,0.87,3638.43
Gladius,3,1,35,0.83,2878.9
Gladius,4,1,35,0.80,2974.5
Gladius,5,1,35,0.82,2465.39
Gladius,6,1,35,0.70,3905.03
Gladius,7,1,35,1.09,2617.04
Gladius,8,1,35,0.78,2995.89
Gladius,9,1,35,0.80,2499.25
Gladius,10,1,35,0.77,2283.27
Kukri,1,5,35,0.95,6456.01
Kukri,2,5,35,0.87,4096.61
Kukri,3,5,35,0.86,5020.99
Kukri,4,5,35,0.69,5539.48
Kukri,5,5,35,0.69,2741.79
Kukri,6,5,35,0.93,2549.66
Kukri,7,5,35,0.74,6054.48
Kukri,8,5,35,1.36,3775.59
Kukri,9,5,35,0.82,2325.96
Kukri,10,5,35,0.78,3891.96
CDC Teal,1,7,35,0.50,2177.97
CDC Teal,2,7,35,0.54,4956.06
CDC Teal,3,7,35,0.56,1974.33
CDC Teal,4,7,35,0.49,1945.54
CDC Teal,5,7,35,0.57,3456.8
CDC Teal,6,7,35,0.49,2161.74
CDC Teal,7,7,35,0.83,3473.87
CDC Teal,8,7,35,0.60,5702.05
CDC Teal,9,7,35,0.80,2720.25
CDC Teal,10,7,35,0.52,4025.21
AAC Brandon,1,10,35,0.57,2075.97
AAC Brandon,2,10,35,0.59,1239.22
AAC Brandon,3,10,35,0.50,1376.02
AAC Brandon,4,10,35,0.54,779.78
AAC Brandon,5,10,35,0.57,2499.64
AAC Brandon,6,10,35,0.64,2298.68
AAC Brandon,7,10,35,0.58,682.23
AAC Brandon,8,10,35,0.55,3015.06
AAC Brandon,9,10,35,0.58,1954.76
AAC Brandon,10,10,35,0.45,1068.89
Gladius,1,1,14,1.01,94.28
Gladius,2,1,14,1.54,88.17
Gladius,3,1,14,1.86,138.01
Gladius,4,1,14,1.36,68.14
Gladius,5,1,14,1.53,80.86
Gladius,6,1,14,1.77,86.45
Gladius,7,1,14,1.73,53.59
Gladius,8,1,14,1.27,107.10
Gladius,9,1,14,0.93,79.42
Gladius,10,1,14,1.06,94.85
Chara,1,1,14,0.95,104.62
Chara,2,1,14,1.52,59.07
Chara,3,1,14,1.54,113.33
Chara,4,1,14,2.75,101.59
Chara,5,1,14,1.56,69.27
Chara,6,1,14,2.16,90.50
Chara,7,1,14,2.47,104.75
Chara,8,1,14,1.17,123.95
Chara,9,1,14,1.50,139.75
Chara,10,1,14,1.53,125.11
Kukri,1,5,14,1.11,102.37
Kukri,2,5,14,0.71,120.78
Kukri,3,5,14,1.03,87.79
Kukri,4,5,14,1.26,96.60
Kukri,5,5,14,1.18,135.89
Kukri,6,5,14,0.98,63.36
Kukri,7,5,14,1.37,106.22
Kukri,8,5,14,1.34,112.78
Kukri,9,5,14,1.36,83.09
Kukri,10,5,14,1.06,125.98
Alsen,1,7,14,0.87,298.38
Alsen,2,7,14,0.69,156.73
Alsen,3,7,14,1.12,207.42
Alsen,4,7,14,0.67,335.46
Alsen,5,7,14,0.97,284.09
Alsen,6,7,14,0.80,300.60
Alsen,7,7,14,0.90,241.59
Alsen,8,7,14,0.91,325.90
Alsen,9,7,14,0.91,337.23
Alsen,10,7,14,1.08,290.36
CDC Teal,1,10,14,0.89,268.19
CDC Teal,2,10,14,0.76,348.84
CDC Teal,3,10,14,0.49,220.83
CDC Teal,4,10,14,0.61,178.25
CDC Teal,5,10,14,0.71,205.39
CDC Teal,6,10,14,0.57,268.21
CDC Teal,7,10,14,0.75,247.37
CDC Teal,8,10,14,0.58,304.20
CDC Teal,9,10,14,0.83,118.88
CDC Teal,10,10,14,0.67,341.33
AAC Brandon,1,10,14,0.24,65.57
AAC Brandon,2,10,14,0.65,119.91
AAC Brandon,3,10,14,1.09,86.82
AAC Brandon,4,10,14,0.27,91.65
AAC Brandon,5,10,14,0.58,128.02
AAC Brandon,6,10,14,0.32,123.38
AAC Brandon,7,10,14,0.38,87.70
AAC Brandon,8,10,14,0.39,136.55
AAC Brandon,9,10,14,0.29,100.61
AAC Brandon,10,10,14,1.13,84.22
