Genotype,Reps,LA,CA
Gladius,1,18.42798975,1
Gladius,2,14.49707434,1
Gladius,3,17.96059279,1
Gladius,4,18.90273389,1
Gladius,5,16.17310924,1
Gladius,6,16.45356215,1
Gladius,7,17.64597267,1
Gladius,8,18.38685202,1
Gladius,9,18.19330033,1
Gladius,10,19.62245576,1
Alsen,1,38.50783798,7
Alsen,2,50.6596594,7
Alsen,3,32.29466745,7
Alsen,4,60.68936985,7
Alsen,5,33.13901802,7
Alsen,6,32.69090139,7
Alsen,7,32.24930313,7
Alsen,8,29.61334534,7
Alsen,9,36.46557396,7
Alsen,10,32.83828882,7
Chara,1,19.23589599,1
Chara,2,26.14931138,1
Chara,3,22.79247186,1
Chara,4,29.38937323,1
Chara,5,19.33325073,1
Chara,6,19.59750734,1
Chara,7,19.00378739,1
Chara,8,19.41420083,1
Chara,9,22.13393715,1
Chara,10,19.80568416,1
Kukri,1,22.04421372,5
Kukri,2,27.0440526,5
Kukri,3,25.90016065,5
Kukri,4,27.72392567,5
Kukri,5,22.66412859,5
Kukri,6,26.99641428,5
Kukri,7,18.53779296,5
Kukri,8,24.33938188,5
Kukri,9,26.8045473,5
Kukri,10,27.17728191,5
CDC Teal,1,71.01288925,10
CDC Teal,2,76.58969959,10
CDC Teal,3,88.82725471,10
CDC Teal,4,89.06952427,10
CDC Teal,5,118.7790149,10
CDC Teal,6,101.3225387,10
CDC Teal,7,93.78010636,10
CDC Teal,8,126.8155784,10
CDC Teal,9,118.9311418,10
CDC Teal,10,107.4487612,10
AAC Brandon,1,72.48338695,10
AAC Brandon,2,65.93559117,10
AAC Brandon,3,23.14740796,10
AAC Brandon,4,70.9137414,10
AAC Brandon,5,34.89960421,10
AAC Brandon,6,61.8236061,10
AAC Brandon,7,48.83233835,10
AAC Brandon,8,48.00672282,10
AAC Brandon,9,41.50912487,10
AAC Brandon,10,56.77050269,10
