Cultivar,H_Max,R_Max,H_over_R,V_100_unscaled,V_60_unscaled,V_40_unscaled,V_100,V_60,V_40,H_over_V,R_over_V,H_over_V_60,R_over_V_60,H_over_V_40,R_over_V_40,V_over_V_60,V_over_V_40,V_60_over_V_40,Scale,Ring Diameter,plane_projection_area_unitless,plane_projection_area
Wheat_Alsen_F0_2023-07-22-1542,38.31,31.27,1.23,0.74,0.31,0.21,6678.57,4031.34,9380.45,0.005737,0.004682,0.009504,0.007757,0.004085,0.003334,1.657,0.712,0.43,44.1,0.9,0.3288,639.453528
Wheat_Alsen_F1_2023-07-22-1417,44.97,27.69,1.62,0.74,0.35,0.21,15947.89,7522.6,9157.45,0.00282,0.001736,0.005977,0.003681,0.00491,0.003024,2.12,1.742,0.821,44.57,0.89,0.3234,642.4292167
Wheat_Alsen_F2_2023-07-22-1314,40.7,27.64,1.47,0.66,0.24,0.16,5012.6,3344.67,6955.81,0.008119,0.005514,0.012168,0.008264,0.005851,0.003974,1.499,0.721,0.481,44.62,0.89,0.2803,558.0617153
Wheat_Alsen_F3_2023-07-22-1446,43.94,32.16,1.37,0.77,0.31,0.2,14052.94,7739.22,8820.76,0.003127,0.002288,0.005677,0.004155,0.004981,0.003646,1.816,1.593,0.877,44.85,0.89,0.2647,532.4500058
Wheat_Alsen_F4_2023-07-22-1732,37.38,39.96,0.94,0.46,0.21,0.11,10857.58,4824.58,5090.56,0.003443,0.00368,0.007749,0.008282,0.007344,0.007849,2.25,2.133,0.948,44.9,0.89,0.2425,488.882425
Wheat_Alsen_F5_2023-07-22-1758,49.56,34.44,1.44,1.18,0.55,0.33,7989.59,5010.96,12426.48,0.006203,0.004311,0.00989,0.006873,0.003988,0.002771,1.594,0.643,0.403,37.86,1.05,0.4217,604.4561773
Wheat_Alsen_F6_2023-07-22-1341,51.68,35.23,1.47,0.85,0.37,0.24,4351.02,2873.21,10870.78,0.011877,0.008097,0.017986,0.012261,0.004754,0.003241,1.514,0.4,0.264,45.28,0.88,0.4691,961.7855974
Wheat_Alsen_F7_2023-07-22-1608,44.36,33.9,1.31,0.66,0.31,0.22,5504.19,3432.96,9869.87,0.00806,0.006159,0.012923,0.009874,0.004495,0.003434,1.603,0.558,0.348,44.75,0.89,0.3465,693.8879063
Wheat_Alsen_F8_2023-07-22-1637,52.47,39.18,1.34,0.95,0.47,0.3,7270.56,5393.58,13589.68,0.007217,0.005388,0.009728,0.007263,0.003861,0.002883,1.348,0.535,0.397,44.89,0.89,0.2792,562.6192983
Wheat_Alsen_F9_2023-07-22-1705,51.37,32.96,1.56,0.76,0.35,0.25,6084.14,4505.49,11222.98,0.008444,0.005417,0.011402,0.007315,0.004577,0.002936,1.35,0.542,0.401,44.31,0.9,0.3465,680.3098187
Wheat_Chara_A0_2023-07-18-1312,35.64,23.3,1.53,0.43,0.17,0.12,3167.68,1891.84,4654.37,0.011252,0.007354,0.018841,0.012314,0.007658,0.005005,1.674,0.681,0.406,38.79,1.03,0.1706,256.6956955
Wheat_Chara_A1_2023-07-18-1413,26.72,22.29,1.2,0.4,0.09,0.06,3416.27,2311.5,2142.63,0.007821,0.006523,0.011559,0.009641,0.012469,0.010401,1.478,1.594,1.079,38.94,1.02,0.1014,153.755213
Wheat_Chara_A2_2023-07-18-1440,29.81,24.51,1.22,0.32,0.08,0.05,3202.94,2092.76,1863.86,0.009307,0.007653,0.014244,0.011712,0.015994,0.013151,1.53,1.718,1.123,39.53,1.01,0.1345,210.1725111
Wheat_Chara_A3_2023-07-18-1643,40.13,28.05,1.43,0.98,0.31,0.24,4607.58,3192.9,8427.52,0.00871,0.006088,0.01257,0.008786,0.004762,0.003329,1.443,0.547,0.379,35.19,1.13,0.1819,225.2533366
Wheat_Chara_A4_2023-07-18-1615,37.2,24.65,1.51,0.42,0.14,0.08,4094.65,2771.64,2999.78,0.009084,0.006021,0.01342,0.008895,0.0124,0.008219,1.477,1.365,0.924,38.35,1.04,0.1307,192.2234308
Wheat_Chara_A5_2023-07-18-1547,32.06,24.73,1.3,0.37,0.15,0.12,3427.22,2389.52,4775.26,0.009353,0.007215,0.013415,0.010348,0.006713,0.005178,1.434,0.718,0.5,38.87,1.03,0.1375,207.7455738
Wheat_Chara_A6_2023-07-18-1343,28.37,18.98,1.49,0.18,0.05,0.04,2116.39,1396.78,1502.46,0.013403,0.008968,0.020308,0.013588,0.018879,0.012632,1.515,1.409,0.93,38.93,1.02,0.0912,138.2176949
Wheat_Chara_A7_2023-07-18-1143,32.23,26.03,1.2,0.65,0.26,0.16,4791.76,3178.11,5694.21,0.006727,0.005433,0.010142,0.008192,0.005661,0.004572,1.508,0.842,0.558,36.06,1.11,0.2078,270.2072441
Wheat_Chara_A8_2023-07-18-1516,33.37,26.04,1.28,0.42,0.15,0.1,4556.72,2990.95,4062.92,0.007323,0.005716,0.011157,0.008708,0.008214,0.00641,1.524,1.122,0.736,38.92,1.02,0.1905,288.5629992
Wheat_Chara_A9_2023-07-18-1226,40.75,24.16,1.69,0.55,0.17,0.12,5269.94,3779.54,4574.46,0.007733,0.004584,0.010782,0.006392,0.008908,0.005281,1.394,1.152,0.826,39.51,1.01,0.1709,266.7817531
Wheat_Gladius_B0_2023-07-19-2134,46.11,31.66,1.46,0.39,0.11,0.05,3097.55,2011.12,2281.55,0.014886,0.01022,0.022928,0.01574,0.02021,0.013875,1.54,1.358,0.881,46.4,0.86,0.095,204.5312
Wheat_Gladius_B1_2023-07-19-2156,41.35,23.75,1.74,0.21,0.07,0.05,5872.56,3638.43,2054.09,0.007041,0.004044,0.011364,0.006527,0.02013,0.011562,1.614,2.859,1.771,45.43,0.88,0.1013,209.0715404
Wheat_Gladius_B2_2023-07-19-2002,39.64,23.9,1.66,0.17,0.08,0.05,4289.24,2878.9,2442.88,0.009241,0.005573,0.013768,0.008303,0.016226,0.009784,1.49,1.756,1.178,46.14,0.86,0.072,153.2807712
Wheat_Gladius_B3_2023-07-19-2046,41.19,25.96,1.59,0.47,0.21,0.14,4738.15,2974.5,4909.54,0.008693,0.005479,0.013848,0.008727,0.00839,0.005288,1.593,0.965,0.606,34.62,1.15,0.1451,173.9087924
Wheat_Gladius_B4_2023-07-19-1848,38.39,23.46,1.64,0.22,0.09,0.07,3940.49,2465.39,2700.84,0.009743,0.005954,0.015572,0.009517,0.014214,0.008687,1.598,1.459,0.913,41.23,0.97,0.1093,185.80048
Wheat_Gladius_B5_2023-07-18-1743,43.91,31.33,1.4,0.26,0.1,0.03,5923.01,3905.03,1107.87,0.007414,0.00529,0.011245,0.008024,0.039636,0.028282,1.517,5.346,3.525,40.04,1,0.0851,136.4324562
Wheat_Gladius_B6_2023-07-19-1913,57.24,26.28,2.18,0.23,0.18,0.11,4104.77,2617.04,4764.35,0.013945,0.006402,0.021873,0.010042,0.012015,0.005516,1.568,0.862,0.549,44.49,0.9,0.0893,176.7568569
Wheat_Gladius_B7_2023-07-19-2110,39.97,25.83,1.55,0.27,0.12,0.09,4255.93,2995.89,3461.02,0.009391,0.006069,0.01334,0.008621,0.011547,0.007462,1.421,1.23,0.866,38.97,1.02,0.111,168.5713599
